,Quotes,Characters
18407,It didnt work Im the Dark One and it didnt do anything,Fry
18415,The star and the asteroid They were an egg and a sperm,Leela
18427,This is unbelievable Whats going on,Leela
18431,What   Hey how come I cant read your thoughts anymore,Fry
18437,Huh I thought you only saved the DNA of endangered species,Fry
18439,I guess he didnt hear me,Fry
18443,Well this is the end There was so many things I wanted to say to you,Fry
18445,Like this is not the end But mostly just I love you Leela,Fry
18446,Maybe I waited too long to say this but I love you too wormhole,Leela
18449,What do we do Should we go for it,Fry
18454,Professor my Fryfros all frizzy,Fry
18456,Thats all  Oh also Im covered with severe burns,Fry
18458,Well why is those things,Fry
18460,Nope nothing Its like when I passed out in college except no one drew magic marker penises on my forehead,Fry
18470,Weve lost power to the forward Game Boy Mario not responding,Fry
18471,Brace for emergency landing,Leela
18480,Fetal steam cells Arent those controversial,Fry
18493,Im on it  Its not working,Fry
18503,Hey Speaking of splattered bowels can I cook you a romantic dinner tonight Leela Wheres Leela  Is she okay Why hasnt she acknowledged my dinner offer,Fry
18508,My soul mate is gone Why should I go on living,Fry
18510,But what if I forget the sweet sound of her voice or the moist touch of her eyeball on my lips,Fry
18514,BuildABot Workshop Its time to start living again,Fry
18515,At least its something to distract me from Leela  Now that I like for some reason,Fry
18523,"Hey I was nuzzling that

Computer",Fry
18532,I swear  I didnt know this would happen  The only thing I truly know is I love you  I mean herWait help me out here,Fry
18544,Oh I didnt need to hear that,Fry
18560,Bender shut the hell up,Leela
18563,Thanks Its so nice to wake up and see,Leela
18568,How is this possible And can you believe she wore a tank top to my funeral,Leela
18574,Its like Im looking at an exact robot duplicate of myself,Leela
18576,Oh  How could you do this Fry,Leela
18579,Dont get upset Leela  Shes nothing like you,Fry
18580,I have to go  This is just too freaky,Leela
18581,I need cheering up Bender  I dunno  You wanna go out and party tonight,Fry
18583,Why does everything I date run away  I love Leela always and forever  And if I loved Robot Leela too,Fry
18584,well thats only cause she had so much of real Leela in her  I thought she loved me too but obviously I was wrong as usual,Fry
18585,Wrong again  You were right,Leela
18587,Leela Leela  Ive been thinking Fry if I lost you I dont think I could stand it either  Id probably build a copy of you too  As long as RoboLeelas not a jealous type like me thing will wor,Leela
18591,A gun  DDo I really need to,Fry
18592,Shoot her  Shes the robot,Leela
18594,ButBut how do I know whos the human and whos the robot,Fry
18597,Okay Fine If youre gonna be like that Im not shooting anyone,Fry
18602,Ill protect you Leela  My love is stronger than the vast majority of explosions,Fry
18611,My god I cant believe Ill never see that particular Fry again,Leela
18614,Oh Im sorry I didnt realize I was already here Wait whats with all the Leelas,Fry
18616,Okay dork Listen Im gonna hit the urinal maybe talk about myself a little bit then,Fry
18625,Uh this is a bit awkward  Or is it,Fry
18626,Im not sure I lost track around the second robot,Leela
18627,Well you know how I feel  I waited for you for a thousand years  I can wait a little longer,Fry
18637,Well thats that then  Were back everyone,Fry
18643,Well what about Zapp Brannigan,Leela
18646,Oh Zapp  Tie me back up and ravish me,Leela
18688,But its only a oneman craftI say,Leela
18692,Are you sure I have to sit in your lap,Leela
18694,Also this picture to remember me by,Fry
18695,You hold on to it  Ill be back soon,Leela
18699,Did anyone else feel aroused and jealous and worried,Fry
18701,Death sphere in range  Engaging holographic targeting   Activating the Force,Leela
18706,Look  What are those huge letters,Leela
18712,This is it The moment we shouldve trained for,Leela
18717,I hope this is the control stick,Leela
18724,We crashed on an uncharted planet  When I woke up I was pinned under this tree Can you help me,Leela
18726,No But Im so thirsty  This spacesuit is making me sweat like a sow,Leela
18730,You will  Eh whats the point Youll have to look sooner or later,Leela
18732,What a thoughtful and considerate thing to say  What the hells wrong with you,Leela
18734,If you see any steaks thatd be good,Leela
18735,Why isnt Leela back yet  Do you think shes okay,Fry
18737,Oh sorry Are you okay Bender,Fry
18750,Granted all that makes perfect sense but why is this death sphere destroying planets,Fry
18759,So thirsty  Why couldnt a water fountain have fallen on me,Leela
18765,So were stuck here until someone finds us,Leela
18767,Well theres worse places to be marooned  Plenty of food mild climate,Leela
18771,Did that snake say Hello,Leela
18777,Dont do it Its not worth it,Fry
18780,Adult bookstore  I thought this was the public library,Fry
18782,Zapp  Where are you  Oh God Im actually starting to miss him,Leela
18784,We do not  And you cant talk,Leela
18786,I do miss the Earth terribly  I wonder if its even still there,Leela
18794,Hey Im proud of you Bender Avoiding sin for almost a full minute   Bender,Fry
18800,Maybe  Maybe this was meant to be Maybe you and I were meant to build a new world here,Leela
18806,Its a sick and twisted book of holiness all right,Leela
18808,Lets do it  I shall become the mother of a new world trapped here under this tree  Come here Adam partake of my forbidden fruit,Leela
18810,Wait  One more bite before we begin the begetting,Leela
18813,So this is the trail mix Fry gave me,Leela
18815,Well your motives were good  And we were both loopy from dehydration  Hey wait  Youve been doing an awful lot of urinating,Leela
18817,Then why didnt you give me any,Leela
18819,So you let me dehydrate while you washed down the trail mix with imported mineral water,Leela
18822,Its because I havent been exercising  If only this tree hadnt fallen on me by chance   Oh dear God,Leela
18826,You couldve moved this grubinfested log anytime you wanted,Leela
18828,Id leave you to rot in this paradise if only the ship werent destroyed  The ships fully functional isnt it,Leela
18832,So we can go back to Earth  But there is no Earth anymore  Everyone I know is dead,Leela
18833,Ah this seems like a good place to take a dump,Fry
18836,But I saw Earth explode,Leela
18839,You said there wasnt any toilet paper  And that humanity was annihilated,Leela
18849,Were not Adam and Eve  You see due to a series of,Leela
18851,Well if its to save Earth II guess I could take one for the team,Leela
18855,Move it  I gotta get home and do laundry,Leela
18856,For Gods sake censor it CENSOR IT,Fry
18858,NOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,Fry
18861,Oh Zapp lets save another planet right now,Leela
18866,So long overly complicated Japanese toilet,Leela
18868,Sorry you know too much,Fry
18877,Theres nothing wrong with our clunker,Leela
18879,No thanks Were delivering ewaste,Leela
18884,What smells like bloody sinuses,Fry
18886,Uch  Thats the worst thing Ive ever seen,Leela
18888,Thats even more horrific Is all the work done by children,Leela
18892,No Put that back and turn it on,Leela
18897,A new eyePhone Forget this junk,Leela
18905,Come on  Lets buy some eyePhones on line,Leela
18906,Wait  I thought we were buying our eyePhones online,Fry
18908,But I thought the Mom Store was across town,Fry
18911,I feel like a mindless zombie  I wish I knew how long weve been waiting,Fry
18925,Shut up and take my money,Fry
18927,Say youre from one of those ethnicities that knows about technology  Whys it called an eyePhone,Fry
18938,No wonder traditional media is dead  Check out this webisode of Hypnotoad,Fry
18944,Whats happening to me  Is it puberty,Fry
18946,These eyePhones are phones too,Fry
18949,Hi Fry  Did you know these eyePhones are phones too,Leela
18950,Duh  Hey is it safe to talk while youre flying,Fry
18956,Oh that reminds me  Its time to twit my hourly twupdate  Scratchin my underarm fungus  Lookin for love  Send,Fry
18966,Ooh can I somehow charge it to my eyePhone for an additional fee,Fry
18970,Duh Thats why we all came over here for lunch Send,Leela
18972,You have 50000 followers I only have three Send,Fry
18973,I unsubscribed yesterday,Leela
18977,That is low Bender  Even by your standards,Fry
18979,Since when is the internet about robbing people of their privacy,Fry
18981,Ill bet I can get as many followers as you without sinking to your level  What do you say  First one to a million followers wins a buck,Fry
18983,What happens to the loser,Fry
18987,Wait  Lets make it interestinger  Vomit and diarrhea,Fry
18989,Eg its putrid What do you feed him,Leela
19000,Oh God Im gonna lose the bet  Im gonna have to swim in the juice of the pukemepoopyu,Fry
19002,Trust me I want twits that tittle,Fry
19003,Then youre gonna have to sink to Benders level Stop acting like the Queen of England,Leela
19005,Whose that  The Queen of England,Fry
19007,That was odd  Whered that singing come from,Fry
19010,"When hope was high and life worth living
I dreamed that love would never die",Leela
19015,You have a boil on your butt that sings showtunes with you,Fry
19016,Dont look at me  Im a freak,Leela
19018,Ive been ashamed of Susan as long as I can remember,Leela
19019,You named your boil Susan,Fry
19022,Its hard enough being a cyclops but if anyone found out about Susan Id be devastated,Leela
19024,Woah gross  Million follower gross,Fry
19025,Fry delete that Delete that right now,Leela
19031,Thanks Fry  Youre a good friend,Leela
19040,not swimming in barf might ease my conscience,Fry
19042,Thats why we cant let her see this  Leela lock the doors so Leela doesntEEEEE,Fry
19056,Okay Im a freak with a singing butt boil but Im still a human being more or less,Leela
19060,So my humiliation is over,Leela
19065,Aaah  Im sick of my head doing things  Leela,Fry
19066,Fry I came to talk to you,Leela
19067,No I came to talk to you,Fry
19068,It looked like you were just sitting there but whatever,Leela
19069,I am so so sorry for what I did  And I know I can never make it up to you,Fry
19070,You dont have to apologize  In fact I came to thank you,Leela
19071,I think you mean hit me,Fry
19072,Everyone knows my secret but no one cares  I have nothing to hide anymore  Oh Fry thanks to your selfish rudeness a terrible weight has been lifted from my heart,Leela
19074,Susan and I are agreed  For the first time in our lives were not ashamed of who we are,Leela
19076,Come here   What stinks  Were you rolling around in New Jersey,Leela
19077,Leela I knew I could never make it up to you so I did the next best thing  I put myself through the same humiliation I put you through,Fry
19078,Aw you didnt have to do that,Leela
19080,Dont worry  By tomorrow no one will remember,Leela
19130,Heres to Amy single lonely and fabulous,Leela
19135,Tough break Amy Are you and Kif getting divorced,Fry
19138,So Amy how can I phrase this delicately Why did Kif dump you like a sack of yesterdays turds,Leela
19150,I thought circusitis only affected children,Leela
19154,Amy are those gear imprints on your sweatpants,Fry
19156,I only brought it up because Bender is wearing them,Fry
19168,Is everybody in position,Leela
19177,Im not hearing anyone Abort mission,Leela
19180,Honestly that went better than I expected,Leela
19182,Hey wheres Amy and Bender,Fry
19186,And thats Benders hat from the Players ball,Fry
19196,Professor there is nothing wrong with robosexuality,Leela
19222,What about this gross ugly smelly loser,Fry
19224,Im here to rescue Amy uh from her robosexual desires,Fry
19243,Not in Space Massachusetts,Leela
19248,Cool Can you turn into a race car,Fry
19268,Professor whos debating for your side,Fry
19290,Me Um can I phone a friend,Fry
19292,I didnt come to play I came to win Now lets play,Fry
19296,I never stop to think about it,Fry
19297,Aw leave Fry alone His intelligence is just a little differenty,Leela
19299,Hey Im begining to think you guys dont think Im very smart,Fry
19301,Einstein is a hard name to remember  Ow,Fry
19304,But youre my only family Who will hug me if I achieve something,Fry
19307,What turned them to stone,Fry
19309,Uhoh Nibbler died in the wall,Fry
19311,Indeed so Most indeededly,Fry
19315,Maybe we can figure it out,Fry
19317,Well I may not have brain smarts but at least I have street smarts,Fry
19318,I was in the hospital two weeks No one visited me,Fry
19334,My God Saint James was a robot,Leela
19339,Psst Leela wanna join the MileDeep Club,Fry
19342,Roman numerals Ive got it Were in Rome,Fry
19347,My God Robot Saint James is a zombie,Fry
19358,Where is the great fountain,Leela
19367,Wow it hasnt changed in a thousand years,Fry
19376,This place is 3000 years old What could possibly be left to discover,Leela
19378,Its truly a masterpiece Note how the perspective lines draw the eye right to his dong,Fry
19385,At the risk of sounding stupid do these things actually work,Fry
19394,Youre right Professor This thing doesnt fly,Fry
19399,I dont know Lets ask this guy,Fry
19402,Thats what I was gonna say,Fry
19406,Its an honor to meet you Leonardo And may I say you were great in Titanic The Beach Neh,Fry
19408,Looks like eating rocks wasnt as dumb as you said,Fry
19409,So what do people do for fun here,Fry
19417,No It would just go in one ear and out some other hole,Fry
19419,Now that I can do  I have a terrible secret to confess Mr DiCaprio Im not very smart,Fry
19421,I dont even know what language youre speaking,Fry
19423,What Who possibly think youre stupid,Fry
19427,He looks stronger than you too,Fry
19429,I can see myself in your shiny button,Fry
19438,And I helped Wait You told me it was an unstoppable ice cream machine,Fry
19444,Are you crazy Professor,Fry
19448,I dont think so You two make me ashamed to call myself an idiot  Theres always going to someone smarter than you so the only way to be happy is to make the most of what youve got,Fry
19450,Oh no Ive got one single nail and another nail to nail it in with And Im gonna stop this infernal ice cream machine once and for all,Fry
19456,Its okay I may not be clever but I have a good heart Thats what my mom used to say,Fry
19458,Also that Im not much to look at,Fry
19461,This is every bit as fun as the real Civil War,Fry
19462,Not the Civil War private Were reinacting the Sithil War,Leela
19466,Darth Stroyer Thats the stupidest name Ive ever heard,Fry
19479,Its payback time Sploder,Fry
19485,If you were really dead you wouldnt be laughing so hard,Fry
19487,So What if something heavy fell on you like a church You could still die,Fry
19495,It may have been a fake war but my scuffed knee is all too real,Fry
19500,I hate to pop your blimplike ego but youre not perfect,Leela
19508,Thats not urine its oil,Fry
19521,How much time does he have left Professor,Fry
19523,Well at least you can plan accordingly,Fry
19527,Thanks to denial Im immortal,Fry
19533,Im all for a good beating but youll never find him Product inspectors are bureaucrats faceless bean counters who blend into the woodwork,Leela
19536,Then again you might be able to find Inspector 5 with the help of another seasoned bureaucrat,Leela
19568,Okay Just filing alphabetically  Im a natural,Leela
19640,Too much papers Not enough hiding plants,Leela
19642,You make it look so easy,Leela
19644,Hey Bender Did you ever find that inspector guy you were looking for,Fry
19654,Oh no Im late for work again,Fry
19658,Well wait a second Leelas not here yet,Fry
19666,I really would like you to stop singing,Leela
19669,Ooh nice cake Sorry Im late,Fry
19672,I was But then I realised its actually my fault for thinking you might be on time for once  Anyhow I ate both our lunches You ordered the Lobster Pilé It wasnt cheap,Leela
19674,Please let me make it up to you Ill treat you to a fancy birthday dinner tonight at Cavern on the Green,Fry
19675,Wow Thatll be the nicest place Ive ever been stood up,Leela
19676,Not this time No matter what happens Ill swear I be there,Fry
19678,Woohoohoohoo   cares Im having dinner with Leela,Fry
19679,Just go to your stupid party We can have dinner on my birthday some other year,Leela
19680,No I can throw up on a stripper anytime Tonight I wanna not throw up On you,Fry
19684,I just have to sign Leelas birthday card How do you spell XO,Fry
19686,Does it have to be nude,Fry
19688,If I leave now record a birthday greeting on the way score some fancy cologne at the newsstand Ill be exactly on time,Fry
19694,I wouldnt wanna do that again,Fry
19696,Okay hurry Lets get it over with I can record Leelas birthday card while were in there,Fry
19697,Happy birthday Leela Im really sorry Im gonna be one minute late cause were testing the professors dumb time machine,Fry
19700,Did we go too far What time is it,Fry
19704,The year ten thousand But I promised Leela Ill be on time for dinner,Fry
19710,Just shut up and bring me two dinners,Leela
19711,Has anyone seen Frys ass Its late for a date with my boot,Leela
19718,Fry stood me up and died  Can I be both,Leela
19720,Then thats what I am Hiyah,Leela
19723,Ill never see Leela again,Fry
19727,And then we can go home,Fry
19753,How do you know were time travellers,Fry
19757,All right We can go home,Fry
19761,I can eat And fertilise,Fry
19765,Bender they had a backwards time machine,Fry
19769,Stop Somewhere some time Leelas waiting for me We need to keep looking for a backwards time machine,Fry
19774,So lets keeping going forward,Fry
19776,The Cavern on the Green,Fry
19777,I made it Leela Sorry Im a billion years late,Fry
19785,Dear Fry our time together was short but it was the best time of my life,Leela
19786,You know all in all I had a good life What you say the three of us grab a six pack and watch the universe end,Fry
19789,To the end of the universe,Fry
19790,So long Earth Thanks for the air and whatnot,Fry
19791,Hey uh what was the purpose of life anyway,Fry
19800,Well now what You guys wanna talk,Fry
19802,Did anyone else see that,Fry
19804,It must be possible Its happening By the way whats happening,Fry
19806,Look The first fish to crawl up on land,Fry
19809,Im gonna grab another beer,Fry
19811,Its okay Theyre not going anywhere  Whered they go,Fry
19832,Oh uh Im late for dinner with Leela,Fry
19837,I have to admit I was afraid you wouldnt make it,Leela
19838,That was the old Fry Hes dead now,Fry
19839,Happy birthday Leela I got you a card but I guess I kinda lost it,Fry
19840,Thats okay I dont really like cards What Ill remember is our time together,Leela
19841,Aw Nibbler made a bobo for Mamma Ill pick it up with my superdupey poopy scoopy,Leela
19845,Not really Its highly volatile Dark Matter and some corn,Leela
19854,One more teensy drink to help Amy relax,Leela
19859,A talk You cant break up with me Youre my pet,Leela
19861,Aw is shnookums not feeling schtimuwated,Leela
19863,If you want to be treated like a fellow crew member fine but no more purse rides and no more dressing you up in your cute little sailor suit,Leela
19898,Its okay Amy I dont have a fancy degree either but today Im a prominent boy in the package delivery field,Fry
19904,Over here I wanna hold him,Fry
19906,Captain Fuzzytoes reporting for duty I mean cutie,Leela
19921,Just stwoke its fwffy fur,Fry
19982,Can someone open a window Its getting a little warm in here,Fry
20012,Its just that youve never called it that before but okay,Leela
20034,I found a missing link It seems to be halfman halftoucan,Leela
20037,Did you find something Hermes,Fry
20062,Wow this planetoid is completely lifeless,Leela
20064,Professor is this your only water source It looks like Diet Dr Pepper,Fry
20068,Speaking of nasty irritants whats going to become of Cubert,Fry
20079,Oh no My sunglasses were in there,Leela
20082,Does anyone have a lighter,Leela
20084,Okay weve got shelter and just enough precious food to ward off starvation,Leela
20093,Then we need water from that pond Well have to fight our way past the Trilobots  Go Go Hit anything that moves,Leela
20105,Woohoo Throw down dinosaurs of the land and sea  This is a cool way to die,Fry
20117,If this is anything like killing that pigeon on my balcony weve got our work cut out for us,Leela
20133,We gotta save them But the only weapon we have is my fan dance,Fry
20136,I can earn my own rocks Also I dont want any rocks,Leela
20139,Whats going on How did we save you,Fry
20150,Good for you Can we go home now,Leela
20190,Boy that things big Fry is my colossal eye too big,Leela
20191,No its what makes you you,Fry
20192,But its so round so hideously round,Leela
20193,Leela listen Youre the most beautiful woman Ive ever known,Fry
20194,Oh So you only care about my looks,Leela
20207,As I told you on SuckerPunch Day Im through being a chump,Fry
20239,Professor whats the matter,Leela
20243,At least you get the senior discount at the movies I hate paying 14 to see Nicolas Cage solve things,Leela
20245,We could always switch back right,Leela
20246,Hey Leela Mmm What smells saturated,Fry
20248,Woah That sounds like something Amy would say and eat,Fry
20251,Aha You do only like me for my body,Leela
20252,That is entirely not true sir,Fry
20279,Of course not But I was willing to lie about it What more can a man do,Fry
20281,Yes I can put my mind in a hideous body and show Leela shes not attracted to me But it would have to be a really really disgusting body,Fry
20288,Yeah he said something about running away Then he ran away,Leela
20306,But then Nicolas Cage discovered that the real treasure was his family Yes Ill hold,Leela
20307,Hey Leela look Im in Zoidberg,Fry
20310,Amy stop it Fry help Shes turning me into a parade float,Leela
20312,Oh So youre so shallow that my body disgusts you if it puts on a little extra weight,Leela
20313,That wasnt a little extra weight,Fry
20314,Admit it You dont care about the inner me at all,Leela
20315,No you admit it Youd be ashamed to be seen in public with someone as hideous as me,Fry
20317,Oh yeah Then I challenge you to a romantic dinner at Elzars tonight,Fry
20341,Im sorry Leela I hope that didnt make you ashamed to be seen with me,Fry
20344,Oh did my bodily infirmity embarrass you,Leela
20345,Not at all Its just another thing that makes you a very special lady,Fry
20347,Admit it Youre disgusted by me,Fry
20348,No youre disgusted by me,Leela
20349,Im as attracted to you as Ive ever been,Fry
20389,I must say Hermes youve got a smokinghot body,Leela
20420,So What do you think of my comic,Fry
20422,If I may offer some constructive criticism there was never any real peril I mean the delivery guy has like 30 superpowers,Leela
20423,Well thats because he was bitten by a radioactive superman,Fry
20425,It is isnt it Wait those are the ads,Fry
20435,Im sick of being critiqued by nitpicking nerds Im taking this to a comic book convention,Fry
20447,Mr Aragonés Im a big fan of your cartoons and your mustache,Fry
20449,Wow Thanks  If you could just quiet down I wanted to get your opinion of my comic book,Fry
20451,Oh thats just some relish from a hot dog I found,Fry
20454,What the hell are you supposed to be,Leela
20463,Theyre probably waiting for Joss Whedon,Leela
20464,Yeah you almost ate me once I was in your mouth for five minutes,Leela
20481,Dont listen to him Lrrr Bender may seem happy  But in the longtern you need to reinvest in your relationship with Ndnd,Leela
20496,I know its not what you want to hear but I think this is a mistake,Leela
20497,Leelas right Thats not what you want to hear What you want to hear is that I fixed my comic book Now the hero is more reliable because he has no more ridiculous powers,Fry
20502,So Give me your honest praise,Fry
20503,Fry Ive now seen two comic books so listen to me Why should I care about the hero when all he does is cry,Leela
20513,Ndnd just wants what every shebeast wants to feel like youre listening to her nagging Is there anything she has been riding your ass about,Leela
20516,No We dont need a war of the worlds,Leela
20517,Thats it We need a War of the Worlds Ill call Orson Welles,Fry
20524,If you want the cheese log youll read what I wrote,Fry
20540,Lrrr Put a stop to this right now,Leela
20549,Youve got to tell her the truth And lay off the salted peanuts,Leela
20577,Rrrmrrrmrrrfrrrmrrr or what,Fry
20581,Lrrr Im getting angry Dont you go through with this,Leela
20583,Leelas gonna die What would DeliveryBoy Man do  I do not want to shoot anybody,Fry
20599,"The teleporter gun But that means Fry might still be

Amy",Leela
20603,Not only that I now know exactly how to end my comic book Lets watch,Fry
20633,I can eat a hotdog underwater,Fry
20637,Mutants Thats the kind of thing you are,Fry
20638,Shh You know mutants arent allowed on the surface If anyone asks say Im an alien remember,Leela
20639,Right You gonna finish that roll,Fry
20645,Well that was disturbing,Leela
20647,Look I guess you mean well but isnt that university just a taxdeductible sewercleaning service,Leela
20653,Lets go If I say one more thing I might say it with my evening boot,Leela
20655,Please dont blame Leela Shes just a little illbred You know how mutants are,Fry
20657,But if anyone asks say shes an alien,Fry
20660,Whats gonna happen to me,Leela
20666,Oh Mom Dad I cant believe I have to spend the rest of my life in this hellhole  Im sorry,Leela
20670,Poor Leela I feel like I ruined her life,Fry
20672,You might be right Hermes,Fry
20674,I almost feel like we should do something to help her,Fry
20676,I dont care what you say Hermes Lets go,Fry
20677,Oh mighty mayor Were here about Turanga Leela,Fry
20679,Right I mean sure shes a mutant weve known that for years But we kept it a secret because shes a fine upstanding,Fry
20686,These conditions are deplorable I swear I hate every single person on the surface for making us live like this,Leela
20688,What are you doing here,Leela
20691,Im so sorry I ratted you out but you know after two weeks down here Ill truly understand the plight of the mutant people,Fry
20692,How dare you You wanna understand something Look at that lake One dip in that toxic muck and your DNA will be permanently mutated Youll grow a camel hump or a Zoidberg face,Leela
20694,You wanna know what its like to be a mutant Jump in and go for a swim,Leela
20695,I would but I ate a bunch of potato salad so,Fry
20696,Yeah thats what I thought You are all surface,Leela
20716,Yeah Ill never have love like that Leela hates me now,Fry
20718,Maybe I was too harsh on Fry He didnt ruin my life on purpose,Leela
20724,You were right I dont know what its like to be a mutant But I want to know,Fry
20725,Wait I never meant for you to,Leela
20727,Sorry I tried to scream but I barfed,Leela
20728,I think Im knowing what its like to be a mutant,Fry
20731,Fry this is the stupidest sweetest thing youve ever done And you know maybe now together we can be an inspiration to other mutants,Leela
20733,Aw Come here Let me give you a kiss  Ill text ya,Leela
20734,My fellow mutants until recently I dwelt on the surface where a man can gaze up at the sky in wonder without a wet clump falling in his mouth,Fry
20736,Whos ready to fight for equality  The Devolution Revolution has begun Beautiful mutants please welcome Devo,Leela
20739,Now that we got their attention its time to hit them where they sit by bending the West Side Pipeway to return all sewage to the surface,Leela
20740,But who could possibly bend such a huge pipe,Fry
20745,What goes down must back up,Fry
20747,Prepare to storm the surface for the Million Mutant March,Leela
20749,Ill meet you up there I need to check out something first,Fry
20760,The segregation of the mutant people ends today We demand equal rights equal access to the surface and the blood of your firstborn children  That so we have something to give up at the negotiations,Leela
20763,Let my people stay He shoots a beam of energy at the wave of sewage parting it,Fry
20765,Mrs Astor deep in the sewers we discovered the wreck of the Land Titanic on which your husband landdrowned Inside was something that might interest you,Fry
20767,Not the gem This passenger manifest It turns out there were mutants on that ship working below deck in the sewage galley,Fry
20768,I was just a young girl  Thanks to your husbands humanity I lived to raise my own daughter and she a daughter in turn,Leela
20769,Mom why have I never heard this,Leela
20771,I beg you Mrs Astor if you truly want to honor your husbands memory treat these people with dignity as he did,Fry
20776,Thank you Fry I think maybe I can stomach that kiss now,Leela
20781,Mom Dad Grandma this is where I work,Leela
20785,Dang Sorry we missed it,Fry
20787,Really No thats not necessary,Fry
20795,Whats wrong Fry Are you regretting another wasted year,Leela
20796,I dont know Somethin about Xmas just doesnt feel like Christmas,Fry
20799,Can someone please explain how you celebrate this crazy holiday Preferably in song,Fry
20803,"On Xmas Eve we don our gay apparel
Kevlar vests asbestos stockings and a barrel",Leela
20808,You know Santa may have killed Scruffy but he makes a good point What we need is an oldfashioned pine tree,Fry
20810,Professor maybe theres some way to bring the pine trees back to life like we did with the barking snakes,Leela
20818,Its so close Is there any chance of crosscontamination,Leela
20823,Now thats a tree worth chopping down,Fry
20831,Wait this could be a good thing That weaponized virus made the sickly little tree grow big and strong,Leela
20832,Wait this could be a good thing Reforestation has begun,Leela
20834,Arguably this could be a good thing The planet has returned to its primeval state,Leela
20835,Earth is just the way it was before the white man came,Fry
20850,Yeah if its real how come theres no song that explains how you celebrate it,Fry
20862,To keep the lamp light burning or to help the latkes broil,Leela
20870,Bender four and a half weeks of oil wrestling sounds like plenty,Leela
20880,I cant wait that long Ive got ADD,Fry
20886,Setting Bachman turners to overdrive,Leela
20891,Why do they call it that,Fry
20899,One hundred kilometers Two hundred,Leela
20902,What the hell are we doing Were all gonna die so this junkyard Golem can celebrate Robanukah,Leela
20911,LaBarbara Hermes happy Kwanzaa We brought a chocolate cake But now Im worried that might be offensive in some way,Leela
20958,Wait I know where we can get beeswax From those giant space bees that nearly killed us and we swore wed never go back there,Fry
20961,Im sorry Bender What do you want me to put on the glass  Okay if we survive,Leela
20965,Theyre in attack formation Theyre going to kill us  That was weird Its like the Jägermeister air show all over again,Leela
20979,Okay gang We have plenty of beeswax Lets get back to the ship,Leela
20994,Earth is dangerous I fell off my chair there once  Ow Quit it Earth,Fry
20995,We wont even have to leave New New York The package is going to Long Long Island,Leela
21004,Delivery for  Francis X Clampazzo,Leela
21009,Bender you cant crash a mob wedding,Leela
21031,How was the wedding Bender,Leela
21036,Bender you need to go to the police and tell them a tastefully edited version of what you just said,Leela
21087,I wish I could go with you pal,Fry
21115,You remind me of my old friend Bender,Fry
21117,I dunno Hey you wanna come to my house and play,Fry
21124,Heres the twohundred feet of rope you ordered Sheriff Burley,Fry
21126,Oh You know who could help with that  Francis,Leela
21127,Nice job Francis I liked how you didnt get drunk and steal anyones organs Like our old Robot,Leela
21128,Bender  Bender Its me Fry,Fry
21132,Well he must be afraid to break character in case theres any Robot Mafia scuzzballs around,Fry
21140,Bender its us your friends You can drop the hillbilling moron act,Fry
21142,Billy West What a stupid phony madeup name,Fry
21152,Oh dear I seem to have warped my fork  Could you bend it back for me Billy,Leela
21154,Wow Bender is really committed to his new Jethrovian identity,Leela
21158,If that is Bender I guess hes just happier in his new life,Fry
21163,You sure you dont wanna kill all Humans,Fry
21177,Stop Zoidberg  Youll hurt Francis,Fry
21194,To my friend Bender A wise man once said he was a helluva squealer  Maybe the best there ever was,Fry
21199,I dont really remember what he looks like,Fry
21202,So that Moon hillbilly who got murdered was just an innocent husband and father,Leela
21211,Huh I knew you had other crews but you never told us you had a first crew,Fry
21239,That poor incompetent crew  What do you think happened Professor,Leela
21241,Thats ridiculous  The Bermuda Tetrahedron is just a myth,Leela
21243,Or we could fly around it,Leela
21247,You can count on us Professor Well get that monument here in time,Leela
21254,Hang on  Its shouldnt have an apostrophe This means and it is crew What the hells wrong with you,Leela
21256,The miracle is that Im not kickin your ass  I insist you recarve the entire statue correctly,Leela
21261,Were cutting through the Bermuda Tetrahedron,Leela
21265,Brace yourselves Its Tickle Me Elmos fire,Leela
21267,There See It was no big thing,Leela
21269,Why did we have to come ere at night,Fry
21271,Over there Its the original Planet Express ship,Leela
21274,Wed better investigate  Everyone suit up,Leela
21275,Whatever happened here that first crew left in a hurry  The table is still set from McDonalds value dinner,Leela
21281,Actually the space whale isnt a space fish  Its a space mammal,Leela
21284,Man look at im go Like a millionaire on a cocktail wiener,Fry
21291,Whatever its beef is our one mission now is to get that monument to Earth,Leela
21294,That wont stop me  Raise the solar sails Im goin after that Möbius Dick,Leela
21296,Comport yourself Mr Conrad When were at space the Captains word is law  I could marry you and Bender against your will if I wanted to,Leela
21299,Leela Im no doctor but Im afraid you be exhibiting symptoms of illin  Youre risking all our lives for your own personal obsession,Fry
21300,Theres nothing personal about this  its business,Leela
21301,Maybe if I move the compass like this it will somehow kill the whale,Leela
21303,Fear not the space behemoth  In my dreams Ive peered beyond its eyes and into the cackling hell within us all,Leela
21304,Okay  Thats a good point,Fry
21306,Thats enough insubordination Mr Fry,Leela
21311,Alright  Which of you space dogs has the guts and knowhow to harpoon that whale,Leela
21313,Miss Wong you have the poon,Leela
21316,You know Im not sure  I guess I thought whales died when you harpooned them,Leela
